timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], power.draw.average [W], power.draw.instant [W]
2023/07/08 19:28:27.236, 0, P0, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.243, 0, P0, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.250, 0, P0, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.256, 0, P0, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.263, 0, P2, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.271, 0, P2, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.278, 0, P2, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.285, 0, P2, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.292, 0, P2, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.302, 0, P2, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.309, 0, P2, 54, 1800, 126.96, 126.96, 126.80
2023/07/08 19:28:27.316, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.324, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.330, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.337, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.344, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.351, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.358, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.365, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.372, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.382, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.389, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.396, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.403, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.410, 1, P2, 54, 1800, 127.19, 127.19, 128.28
2023/07/08 19:28:27.417, 1, P2, 54, 1800, 127.03, 127.03, 126.87
2023/07/08 19:28:27.424, 1, P2, 54, 1800, 127.03, 127.03, 126.87
2023/07/08 19:28:27.431, 1, P2, 54, 1800, 127.03, 127.03, 126.87
2023/07/08 19:28:27.438, 1, P2, 54, 1800, 127.03, 127.03, 126.87
2023/07/08 19:28:27.445, 1, P2, 54, 1800, 127.03, 127.03, 126.87
