timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], power.draw.instant [W]
2023/07/14 10:12:46.483, 0, P0, 37, 1410, 56.12, 56.12
2023/07/14 10:12:46.499, 0, P0, 37, 1410, 56.12, 56.12
2023/07/14 10:12:46.513, 0, P0, 37, 1410, 56.12, 60.42
2023/07/14 10:12:46.528, 0, P0, 37, 1410, 60.42, 60.42
2023/07/14 10:12:46.541, 0, P0, 37, 1410, 60.42, 60.42
2023/07/14 10:12:46.554, 0, P0, 37, 1410, 60.42, 60.42
2023/07/14 10:12:46.570, 0, P0, 37, 1410, 60.42, 60.42
2023/07/14 10:12:46.587, 0, P0, 37, 1410, 60.42, 60.42
2023/07/14 10:12:46.601, 0, P0, 37, 1410, 60.42, 60.42
2023/07/14 10:12:46.615, 0, P0, 37, 1410, 60.42, 60.52
2023/07/14 10:12:46.629, 0, P0, 37, 1410, 60.52, 60.52
2023/07/14 10:12:46.646, 0, P0, 37, 1410, 60.52, 60.52
2023/07/14 10:12:46.662, 0, P0, 37, 1410, 60.52, 60.52
2023/07/14 10:12:46.676, 0, P0, 37, 1410, 60.52, 60.52
2023/07/14 10:12:46.689, 0, P0, 37, 1410, 60.52, 60.52
2023/07/14 10:12:46.703, 0, P0, 37, 1410, 60.52, 60.52
2023/07/14 10:12:46.716, 0, P0, 37, 1410, 60.52, 60.62
2023/07/14 10:12:46.730, 0, P0, 37, 1410, 60.62, 60.62
2023/07/14 10:12:46.743, 0, P0, 37, 1410, 60.62, 60.62
2023/07/14 10:12:46.757, 0, P0, 37, 1410, 60.62, 60.62
2023/07/14 10:12:46.769, 0, P0, 37, 1410, 60.62, 60.62
2023/07/14 10:12:46.784, 0, P0, 37, 1410, 60.62, 60.62
2023/07/14 10:12:46.797, 0, P0, 37, 1410, 60.62, 60.62
2023/07/14 10:12:46.809, 0, P0, 37, 1410, 60.62, 60.62
2023/07/14 10:12:46.825, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:12:46.838, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:12:46.850, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:12:46.864, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:12:46.877, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:12:46.890, 2, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:12:46.904, 2, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:12:46.917, 2, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:12:46.930, 2, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:46.945, 2, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:46.957, 2, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:46.969, 2, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:46.984, 2, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:46.996, 2, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.008, 2, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.023, 2, P0, 37, 1410, 58.62, 58.62
2023/07/14 10:12:47.036, 2, P0, 37, 1410, 58.62, 58.62
2023/07/14 10:12:47.048, 2, P0, 37, 1410, 58.62, 58.62
2023/07/14 10:12:47.063, 2, P0, 37, 1410, 58.62, 58.62
2023/07/14 10:12:47.075, 2, P0, 37, 1410, 58.62, 58.62
2023/07/14 10:12:47.088, 0, P0, 37, 1410, 58.62, 58.62
2023/07/14 10:12:47.101, 0, P0, 37, 1410, 58.62, 58.62
2023/07/14 10:12:47.113, 0, P0, 37, 1410, 58.62, 58.62
2023/07/14 10:12:47.127, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.140, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.152, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.167, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.180, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.192, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.206, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.219, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.231, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.245, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.258, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.270, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.284, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.297, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.310, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.322, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.335, 0, P0, 37, 1410, 59.29, 59.29
2023/07/14 10:12:47.349, 0, P0, 37, 1410, 59.29, 59.29
2023/07/14 10:12:47.361, 0, P0, 37, 1410, 59.29, 59.29
2023/07/14 10:12:47.374, 0, P0, 37, 1410, 59.29, 59.29
2023/07/14 10:12:47.389, 0, P0, 37, 1410, 59.29, 59.29
2023/07/14 10:12:47.402, 0, P0, 37, 1410, 59.29, 59.29
2023/07/14 10:12:47.414, 0, P0, 37, 1410, 59.29, 59.29
2023/07/14 10:12:47.429, 0, P0, 37, 1410, 58.52, 58.52
2023/07/14 10:12:47.441, 0, P0, 37, 1410, 58.52, 58.52
2023/07/14 10:12:47.453, 0, P0, 37, 1410, 58.52, 58.52
2023/07/14 10:12:47.468, 0, P0, 37, 1410, 58.52, 58.52
2023/07/14 10:12:47.480, 0, P0, 37, 1410, 58.52, 58.52
2023/07/14 10:12:47.493, 0, P0, 37, 1410, 58.52, 58.52
2023/07/14 10:12:47.506, 0, P0, 37, 1410, 58.52, 58.52
2023/07/14 10:12:47.518, 0, P0, 37, 1410, 58.52, 58.52
2023/07/14 10:12:47.532, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.545, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.557, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.572, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.585, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.597, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.611, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.624, 0, P0, 37, 1410, 58.72, 58.72
2023/07/14 10:12:47.636, 0, P0, 37, 1410, 59.39, 59.39
2023/07/14 10:12:47.651, 0, P0, 37, 1410, 59.39, 59.39
