timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2023/07/20 14:16:34.315, 0, P0, 40, 2520, 50.81
2023/07/20 14:16:34.322, 0, P0, 40, 2520, 50.81
2023/07/20 14:16:34.328, 0, P0, 40, 2520, 50.81
2023/07/20 14:16:34.338, 0, P0, 40, 2520, 50.81
2023/07/20 14:16:34.345, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.364, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.371, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.379, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.385, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.392, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.398, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.405, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.411, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.419, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.426, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.432, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.439, 2, P2, 40, 2520, 51.86
2023/07/20 14:16:34.446, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.453, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.460, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.466, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.478, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.485, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.491, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.499, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.506, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.513, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.520, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.526, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.538, 2, P2, 40, 2520, 52.26
2023/07/20 14:16:34.545, 2, P2, 40, 2520, 52.19
2023/07/20 14:16:34.551, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.560, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.566, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.573, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.580, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.586, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.598, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.605, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.611, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.619, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.626, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.632, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.639, 0, P2, 40, 2520, 52.19
2023/07/20 14:16:34.646, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.653, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.660, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.666, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.678, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.685, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.691, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.699, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.705, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.712, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.719, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.726, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.732, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.739, 0, P2, 40, 2520, 51.94
2023/07/20 14:16:34.746, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.753, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.765, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.771, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.779, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.785, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.792, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.799, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.806, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.812, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.819, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.826, 0, P2, 40, 2520, 51.79
2023/07/20 14:16:34.832, 0, P2, 40, 2520, 51.79
