timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], power.draw.instant [W]
2023/07/14 10:10:26.905, 0, P0, 37, 1410, 56.38, 56.38
2023/07/14 10:10:26.920, 0, P0, 37, 1410, 56.38, 56.38
2023/07/14 10:10:26.935, 0, P0, 37, 1410, 56.38, 56.38
2023/07/14 10:10:26.948, 0, P0, 37, 1410, 56.38, 56.38
2023/07/14 10:10:26.962, 0, P0, 37, 1410, 60.51, 60.51
2023/07/14 10:10:26.978, 0, P0, 37, 1410, 60.51, 60.51
2023/07/14 10:10:26.991, 0, P0, 37, 1410, 60.51, 60.51
2023/07/14 10:10:27.008, 0, P0, 37, 1410, 60.51, 60.51
2023/07/14 10:10:27.022, 0, P0, 37, 1410, 60.51, 60.51
2023/07/14 10:10:27.036, 0, P0, 37, 1410, 60.51, 60.51
2023/07/14 10:10:27.049, 0, P0, 37, 1410, 60.51, 60.51
2023/07/14 10:10:27.065, 0, P0, 37, 1410, 60.92, 60.92
2023/07/14 10:10:27.080, 0, P0, 37, 1410, 60.92, 60.92
2023/07/14 10:10:27.093, 0, P0, 37, 1410, 60.92, 60.92
2023/07/14 10:10:27.105, 0, P0, 37, 1410, 60.92, 60.92
2023/07/14 10:10:27.120, 0, P0, 37, 1410, 60.92, 60.92
2023/07/14 10:10:27.133, 0, P0, 37, 1410, 60.92, 60.92
2023/07/14 10:10:27.145, 0, P0, 37, 1410, 60.92, 60.92
2023/07/14 10:10:27.164, 0, P0, 37, 1410, 60.82, 60.82
2023/07/14 10:10:27.177, 0, P0, 37, 1410, 60.82, 60.82
2023/07/14 10:10:27.189, 0, P0, 37, 1410, 60.82, 60.82
2023/07/14 10:10:27.204, 0, P0, 37, 1410, 60.82, 60.82
2023/07/14 10:10:27.218, 0, P0, 37, 1410, 60.82, 60.82
2023/07/14 10:10:27.231, 0, P0, 37, 1410, 60.82, 60.82
2023/07/14 10:10:27.245, 0, P0, 37, 1410, 60.82, 60.82
2023/07/14 10:10:27.258, 0, P0, 37, 1410, 60.82, 60.82
2023/07/14 10:10:27.271, 0, P0, 37, 1410, 59.66, 59.66
2023/07/14 10:10:27.285, 0, P0, 37, 1410, 59.66, 59.66
2023/07/14 10:10:27.298, 0, P0, 37, 1410, 59.66, 59.66
2023/07/14 10:10:27.310, 0, P0, 37, 1410, 59.66, 59.66
2023/07/14 10:10:27.325, 0, P0, 37, 1410, 59.66, 59.66
2023/07/14 10:10:27.338, 0, P0, 37, 1410, 59.66, 59.66
2023/07/14 10:10:27.350, 2, P0, 37, 1410, 59.66, 59.66
2023/07/14 10:10:27.365, 2, P0, 37, 1410, 58.70, 58.70
2023/07/14 10:10:27.378, 2, P0, 37, 1410, 58.70, 58.70
2023/07/14 10:10:27.390, 2, P0, 37, 1410, 58.70, 58.70
2023/07/14 10:10:27.406, 2, P0, 37, 1410, 58.70, 58.70
2023/07/14 10:10:27.418, 2, P0, 37, 1410, 58.70, 58.70
2023/07/14 10:10:27.431, 2, P0, 37, 1410, 58.70, 58.70
2023/07/14 10:10:27.445, 2, P0, 37, 1410, 58.70, 58.70
2023/07/14 10:10:27.457, 2, P0, 37, 1410, 58.70, 58.70
2023/07/14 10:10:27.469, 2, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:27.485, 2, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:27.497, 2, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:27.509, 2, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:27.522, 2, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:27.534, 2, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:27.549, 2, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:27.566, 0, P0, 37, 1410, 58.99, 59.28
2023/07/14 10:10:27.579, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:27.591, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:27.607, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:27.619, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:27.631, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:27.644, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:27.656, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:27.670, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.683, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.695, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.713, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.728, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.740, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.753, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.765, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.778, 0, P0, 37, 1410, 59.38, 59.38
2023/07/14 10:10:27.792, 0, P0, 37, 1410, 59.38, 59.38
2023/07/14 10:10:27.805, 0, P0, 37, 1410, 59.38, 59.38
2023/07/14 10:10:27.817, 0, P0, 37, 1410, 59.38, 59.38
2023/07/14 10:10:27.831, 0, P0, 37, 1410, 59.38, 59.38
2023/07/14 10:10:27.844, 0, P0, 37, 1410, 59.38, 59.38
2023/07/14 10:10:27.856, 0, P0, 37, 1410, 59.38, 59.38
2023/07/14 10:10:27.871, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.884, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.896, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.911, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.924, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.936, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.950, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.964, 0, P0, 37, 1410, 58.61, 58.61
2023/07/14 10:10:27.976, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:27.991, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:28.003, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:28.016, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:28.031, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:28.043, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:28.055, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:28.068, 0, P0, 37, 1410, 59.28, 59.28
2023/07/14 10:10:28.081, 0, P0, 37, 1410, 59.45, 59.45
2023/07/14 10:10:28.095, 0, P0, 37, 1410, 59.45, 59.45
2023/07/14 10:10:28.107, 0, P0, 37, 1410, 59.45, 59.45
2023/07/14 10:10:28.120, 0, P0, 37, 1410, 59.45, 59.45
2023/07/14 10:10:28.135, 0, P0, 37, 1410, 59.45, 59.45
2023/07/14 10:10:28.147, 0, P0, 37, 1410, 59.45, 59.45
2023/07/14 10:10:28.160, 0, P0, 37, 1410, 59.45, 59.45
2023/07/14 10:10:28.174, 0, P0, 37, 1410, 58.69, 58.69
2023/07/14 10:10:28.187, 0, P0, 37, 1410, 58.69, 58.69
2023/07/14 10:10:28.200, 0, P0, 37, 1410, 58.69, 58.69
2023/07/14 10:10:28.214, 0, P0, 37, 1410, 58.69, 58.69
2023/07/14 10:10:28.227, 0, P0, 37, 1410, 58.69, 58.69
2023/07/14 10:10:28.239, 0, P0, 37, 1410, 58.69, 58.69
2023/07/14 10:10:28.254, 0, P0, 37, 1410, 58.69, 58.69
2023/07/14 10:10:28.266, 0, P0, 37, 1410, 58.69, 58.69
2023/07/14 10:10:28.278, 0, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:28.291, 0, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:28.303, 0, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:28.317, 0, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:28.330, 0, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:28.342, 0, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:28.357, 0, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:28.371, 0, P0, 37, 1410, 58.99, 58.99
2023/07/14 10:10:28.384, 0, P0, 37, 1410, 59.57, 59.57
2023/07/14 10:10:28.398, 0, P0, 37, 1410, 59.57, 59.57
2023/07/14 10:10:28.411, 0, P0, 37, 1410, 59.57, 59.57
2023/07/14 10:10:28.423, 0, P0, 37, 1410, 59.57, 59.57
2023/07/14 10:10:28.438, 0, P0, 38, 1410, 59.57, 59.57
2023/07/14 10:10:28.450, 0, P0, 38, 1410, 59.57, 59.57
2023/07/14 10:10:28.463, 0, P0, 40, 1410, 59.57, 59.57
2023/07/14 10:10:28.477, 0, P0, 40, 1410, 183.31, 183.31
2023/07/14 10:10:28.491, 0, P0, 40, 1410, 183.31, 183.31
2023/07/14 10:10:28.503, 0, P0, 40, 1410, 183.31, 183.31
2023/07/14 10:10:28.517, 0, P0, 40, 1410, 183.31, 183.31
2023/07/14 10:10:28.530, 0, P0, 41, 1410, 183.31, 183.31
