timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2023/07/13 18:15:32.351, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.360, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.369, 0, P0, 34, 745, 60.24
2023/07/13 18:15:32.376, 0, P0, 34, 745, 60.24
2023/07/13 18:15:32.381, 0, P0, 34, 745, 60.33
2023/07/13 18:15:32.391, 0, P0, 34, 745, 60.33
2023/07/13 18:15:32.397, 0, P0, 34, 745, 60.24
2023/07/13 18:15:32.407, 0, P0, 34, 745, 60.24
2023/07/13 18:15:32.412, 1, P0, 34, 745, 60.24
2023/07/13 18:15:32.422, 1, P0, 34, 745, 60.24
2023/07/13 18:15:32.428, 1, P0, 34, 745, 60.24
2023/07/13 18:15:32.437, 1, P0, 34, 745, 60.24
2023/07/13 18:15:32.443, 1, P0, 34, 745, 60.14
2023/07/13 18:15:32.453, 1, P0, 34, 745, 60.14
2023/07/13 18:15:32.459, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.468, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.474, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.484, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.490, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.500, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.505, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.515, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.521, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.530, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.536, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.546, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.552, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.562, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.568, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.577, 1, P0, 34, 745, 60.16
2023/07/13 18:15:32.583, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.593, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.598, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.608, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.614, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.623, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.629, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.639, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.645, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.654, 0, P0, 34, 745, 60.16
2023/07/13 18:15:32.660, 0, P0, 34, 745, 60.16
