timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], power.draw.instant [W]
2023/07/30 18:26:14.684, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:26:14.691, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:26:14.698, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:26:14.709, 0, P0, 57, 1312, 81.46, 81.46
2023/07/30 18:26:14.722, 0, P0, 57, 1312, 74.69, 74.69
2023/07/30 18:26:14.728, 0, P0, 57, 1312, 74.69, 74.69
2023/07/30 18:26:14.734, 0, P0, 57, 1312, 74.69, 74.69
2023/07/30 18:26:14.740, 0, P0, 57, 1312, 70.30, 70.30
2023/07/30 18:26:14.747, 0, P0, 57, 1312, 70.30, 70.30
2023/07/30 18:26:14.753, 0, P0, 57, 1312, 70.30, 70.30
2023/07/30 18:26:14.764, 0, P0, 57, 1312, 69.33, 69.33
2023/07/30 18:26:14.796, 0, P0, 57, 1312, 69.33, 69.33
2023/07/30 18:26:14.804, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:26:14.820, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:26:14.832, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:26:14.840, 0, P0, 57, 1312, 69.33, 69.33
2023/07/30 18:26:14.846, 0, P0, 56, 1312, 69.33, 69.33
2023/07/30 18:26:14.852, 0, P0, 56, 1312, 69.33, 69.33
2023/07/30 18:26:14.885, 2, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:14.893, 2, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:14.899, 2, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:14.905, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.912, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.918, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.924, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.930, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.936, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.942, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.950, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.956, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.962, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.970, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.976, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.982, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.990, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:14.996, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.002, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.010, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.016, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.022, 2, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.030, 2, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.036, 2, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.042, 2, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.050, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.056, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.062, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.070, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.076, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.082, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.090, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.096, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.102, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.110, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.116, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.122, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.130, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.136, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.142, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.150, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.156, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.162, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.170, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.176, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.182, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.190, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.196, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.202, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.211, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.217, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.223, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.230, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.236, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.242, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.251, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.257, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.263, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.271, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.277, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.283, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.291, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.297, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.303, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.311, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.317, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.323, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.331, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.337, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.343, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.351, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.357, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.363, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.371, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.377, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.383, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.391, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.397, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.403, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.411, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.417, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.423, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.431, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.437, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.443, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.451, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.457, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.463, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.471, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.477, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.483, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.491, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.497, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.503, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.511, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.517, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.523, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.531, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.537, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.543, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.551, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.557, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.563, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.571, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.577, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.583, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.591, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.597, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.603, 0, P0, 56, 1312, 68.35, 68.35
2023/07/30 18:26:15.611, 0, P0, 56, 1312, 68.35, 68.35
2023/07/30 18:26:15.617, 0, P0, 56, 1312, 68.35, 68.35
2023/07/30 18:26:15.623, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.631, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.637, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.643, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.651, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.657, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.663, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.671, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.677, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.683, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.691, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.697, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.703, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.711, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.717, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:26:15.723, 0, P0, 56, 1312, 68.89, 68.84
2023/07/30 18:26:15.731, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.737, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.743, 0, P0, 56, 1312, 68.84, 68.35
2023/07/30 18:26:15.752, 0, P0, 56, 1312, 68.35, 68.35
2023/07/30 18:26:15.758, 0, P0, 56, 1312, 68.35, 68.35
2023/07/30 18:26:15.764, 0, P0, 56, 1312, 68.40, 68.40
2023/07/30 18:26:15.772, 0, P0, 56, 1312, 68.40, 68.40
2023/07/30 18:26:15.778, 0, P0, 56, 1312, 68.40, 68.40
2023/07/30 18:26:15.784, 0, P0, 56, 1312, 68.40, 68.40
2023/07/30 18:26:15.791, 0, P0, 56, 1312, 68.40, 68.40
2023/07/30 18:26:15.798, 0, P0, 56, 1312, 68.40, 68.40
2023/07/30 18:26:15.804, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.812, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.818, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:26:15.824, 0, P0, 56, 1312, 68.40, 68.40
2023/07/30 18:26:15.832, 0, P0, 56, 1312, 68.40, 68.40
2023/07/30 18:26:15.849, 0, P0, 56, 1312, 114.84, 114.84
2023/07/30 18:26:15.855, 0, P0, 56, 1312, 114.84, 114.84
2023/07/30 18:26:15.870, 0, P0, 56, 1312, 125.53, 125.53
2023/07/30 18:26:15.877, 0, P0, 56, 1312, 125.53, 125.53
2023/07/30 18:26:15.889, 14, P0, 56, 1312, 123.99, 123.99
2023/07/30 18:26:15.896, 14, P0, 56, 1312, 123.99, 123.99
2023/07/30 18:26:15.902, 14, P0, 56, 1312, 123.99, 123.99
2023/07/30 18:26:15.914, 14, P0, 56, 1312, 124.96, 124.96
2023/07/30 18:26:15.921, 14, P0, 56, 1312, 124.96, 124.96
2023/07/30 18:26:15.936, 14, P0, 56, 1312, 125.45, 125.45
2023/07/30 18:26:15.943, 14, P0, 56, 1312, 125.45, 125.45
2023/07/30 18:26:15.958, 14, P0, 56, 1312, 127.39, 127.39
2023/07/30 18:26:15.965, 14, P0, 56, 1312, 102.27, 102.27
2023/07/30 18:26:15.980, 14, P0, 56, 1312, 102.27, 102.27
2023/07/30 18:26:15.986, 14, P0, 56, 1312, 107.13, 107.13
2023/07/30 18:26:16.002, 14, P0, 56, 1312, 107.13, 107.13
2023/07/30 18:26:16.009, 14, P0, 56, 1312, 103.79, 103.79
2023/07/30 18:26:16.024, 14, P0, 56, 1312, 103.79, 122.13
2023/07/30 18:26:16.032, 14, P0, 56, 1312, 122.13, 122.13
