timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], power.draw.instant [W]
2023/07/30 18:20:37.469, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.476, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.483, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.493, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.499, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.505, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.519, 0, P0, 57, 1530, 81.46, 81.94
2023/07/30 18:20:37.553, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.560, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.575, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.587, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.595, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.601, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.607, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.614, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.620, 0, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.626, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.633, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.639, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.645, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.651, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.657, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.664, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.671, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.677, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.683, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.691, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.697, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.703, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.711, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.717, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.723, 2, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.733, 2, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.739, 2, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.745, 2, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.752, 2, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.758, 2, P0, 57, 1530, 81.94, 81.94
2023/07/30 18:20:37.764, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.772, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.778, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.784, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.792, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.798, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.804, 2, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.812, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.818, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.824, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.833, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.839, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.845, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.852, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.858, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.865, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.872, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.878, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.884, 0, P0, 57, 1530, 81.51, 81.51
2023/07/30 18:20:37.892, 0, P0, 57, 1530, 81.51, 81.51
2023/07/30 18:20:37.898, 0, P0, 57, 1530, 81.51, 81.51
2023/07/30 18:20:37.904, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.912, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.918, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.924, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.933, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.939, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.945, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.952, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.958, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.964, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.972, 0, P0, 57, 1530, 81.46, 81.46
2023/07/30 18:20:37.978, 0, P0, 57, 1312, 81.46, 81.46
2023/07/30 18:20:37.987, 0, P0, 57, 1312, 75.66, 75.66
2023/07/30 18:20:37.994, 0, P0, 57, 1312, 75.66, 75.66
2023/07/30 18:20:38.000, 0, P0, 57, 1312, 75.66, 75.66
2023/07/30 18:20:38.006, 0, P0, 57, 1312, 70.79, 70.79
2023/07/30 18:20:38.013, 0, P0, 57, 1312, 70.79, 70.79
2023/07/30 18:20:38.019, 0, P0, 57, 1312, 70.79, 70.79
2023/07/30 18:20:38.025, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.033, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.039, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.045, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.053, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.059, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.065, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.073, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.079, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.085, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.093, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.099, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.105, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.113, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.119, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.125, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.133, 0, P0, 57, 1312, 69.37, 69.37
2023/07/30 18:20:38.164, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.170, 0, P0, 57, 1312, 69.33, 69.33
2023/07/30 18:20:38.177, 0, P0, 57, 1312, 69.33, 69.33
2023/07/30 18:20:38.183, 0, P0, 57, 1312, 69.33, 69.33
2023/07/30 18:20:38.189, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.196, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.202, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.208, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.215, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.221, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.227, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.234, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.241, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.247, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.254, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.260, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.266, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.274, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.280, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.286, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.294, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.300, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.306, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.314, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.320, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.326, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.334, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.340, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.346, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:20:38.354, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:20:38.360, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:20:38.366, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.374, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.380, 0, P0, 57, 1312, 68.89, 68.89
2023/07/30 18:20:38.386, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.394, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.400, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.406, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.414, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.420, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.426, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.434, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.441, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.446, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.455, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.461, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.467, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.474, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.480, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.486, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.494, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.500, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.507, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.515, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.521, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.527, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:20:38.535, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:20:38.541, 0, P0, 56, 1312, 68.89, 68.89
2023/07/30 18:20:38.547, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.555, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.561, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.567, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.575, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.581, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.587, 0, P0, 56, 1312, 68.84, 68.84
2023/07/30 18:20:38.605, 0, P0, 57, 1312, 68.84, 68.84
2023/07/30 18:20:38.618, 0, P0, 57, 1312, 140.90, 140.90
2023/07/30 18:20:38.630, 0, P0, 57, 1312, 147.60, 147.60
2023/07/30 18:20:38.642, 0, P0, 57, 1312, 147.60, 147.60
2023/07/30 18:20:38.653, 32, P0, 57, 1312, 151.48, 151.48
2023/07/30 18:20:38.665, 32, P0, 57, 1312, 151.48, 151.48
2023/07/30 18:20:38.676, 32, P0, 57, 1312, 151.96, 151.96
2023/07/30 18:20:38.688, 32, P0, 57, 1312, 151.96, 151.96
2023/07/30 18:20:38.700, 32, P0, 57, 1312, 151.96, 151.96
2023/07/30 18:20:38.711, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.723, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.734, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.746, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.756, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.768, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.781, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.792, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.804, 32, P0, 57, 1312, 152.93, 152.93
2023/07/30 18:20:38.815, 100, P0, 58, 1447, 170.66, 175.02
2023/07/30 18:20:38.842, 100, P0, 58, 1447, 175.02, 175.02
2023/07/30 18:20:38.853, 100, P0, 58, 1447, 184.10, 184.10
2023/07/30 18:20:38.863, 100, P0, 58, 1447, 184.10, 184.10
2023/07/30 18:20:38.874, 100, P0, 58, 1447, 185.55, 185.55
2023/07/30 18:20:38.886, 100, P0, 58, 1447, 185.55, 185.55
2023/07/30 18:20:38.897, 100, P0, 58, 1447, 186.04, 186.04
2023/07/30 18:20:38.909, 100, P0, 58, 1447, 186.52, 186.52
2023/07/30 18:20:38.922, 100, P0, 58, 1447, 186.52, 186.52
2023/07/30 18:20:38.933, 100, P0, 58, 1447, 186.52, 186.52
2023/07/30 18:20:38.945, 100, P0, 58, 1447, 186.52, 186.52
2023/07/30 18:20:38.956, 100, P0, 58, 1447, 186.52, 186.52
2023/07/30 18:20:38.966, 100, P0, 58, 1447, 186.52, 186.52
2023/07/30 18:20:38.977, 100, P0, 58, 1447, 186.04, 186.04
2023/07/30 18:20:38.989, 100, P0, 58, 1530, 194.62, 194.62
2023/07/30 18:20:39.002, 100, P0, 59, 1530, 194.62, 194.62
2023/07/30 18:20:39.013, 100, P0, 59, 1530, 208.03, 208.03
