avg_windows,losses,pmd_losses
1,0.4516607164185705,0.38486202512685797
3,0.3157541068491629,0.2541275454668615
5,0.1932700819662274,0.15225025631782096
7,0.1135318422008061,0.09647890758119138
9,0.0700757748217965,0.06472302385198099
11,0.05054069332485429,0.060670044998490436
13,0.060792512113156214,0.08529630445224226
15,0.09738964115111293,0.13666100631275707
17,0.16199256865249004,0.2159019166832038
19,0.2540442127018133,0.3226165819612981
21,0.3763896188027499,0.4604691033348206
23,0.5306972221470719,0.6302470402808895
25,0.7153644965322096,0.8271490031300616
27,0.9192457452198235,1.0405292576210754
29,1.135570386057574,1.263555071804806
