avg_windows,losses,pmd_losses
1,0.615267142,0.550619819
3,0.519240876,0.519165487
5,0.439124795,0.420348105
7,0.373265981,0.354581121
9,0.293086549,0.288379623
11,0.233124515,0.220121492
13,0.182243005,0.169035004
15,0.143565201,0.127294619
17,0.114194043,0.102532529
19,0.089165937,0.079872219
21,0.07095719,0.062409297
23,0.057629313,0.050275223
25,0.049473116,0.042751982
27,0.044916937,0.040699737
29,0.043646507,0.040935226
31,0.04610562,0.044304034
33,0.051626762,0.051571284
35,0.059605633,0.061148331
37,0.069964011,0.07280582
39,0.082570719,0.086498837
41,0.097316339,0.10259734
43,0.114334031,0.121000106
45,0.1338801,0.141848166
47,0.155528682,0.164277386
49,0.179459589,0.188743935
51,0.205379984,0.215216709
53,0.233299887,0.244405395
55,0.26313742,0.275662354
57,0.294706834,0.308058434
59,0.327766126,0.341316764
61,0.362471306,0.376544668
63,0.398882968,0.414231237
65,0.437176201,0.453855767
67,0.477476181,0.494467426
69,0.519891813,0.53667761
71,0.564644865,0.581370282
73,0.61157979,0.629439656
75,0.660824737,0.680011272
77,0.712991836,0.732174926
79,0.767501564,0.786364382
81,0.824212997,0.842784358
83,0.884606313,0.903896561
85,0.949103926,0.968419508
87,1.016341966,1.034891248
89,1.08379576,1.102723687
91,1.153552659,1.171525403
93,1.220724231,1.241267712
95,1.29040128,1.311762622
97,1.360609972,1.382388557
99,1.430510718,1.451458692
101,1.499728429,1.520853197
103,1.567414594,1.589688045
105,1.637417616,1.659903549
107,1.705325131,1.728050442
109,1.765325131,1.79541431
