timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], power.draw.average [W], power.draw.instant [W]
2023/07/30 17:29:56.995, 0, P0, 61, 1800, 137.12, 137.12, 136.57
2023/07/30 17:29:57.002, 0, P0, 61, 1800, 137.12, 137.12, 136.57
2023/07/30 17:29:57.009, 0, P0, 61, 1800, 137.12, 137.12, 136.57
2023/07/30 17:29:57.016, 0, P0, 61, 1800, 137.12, 137.12, 136.57
2023/07/30 17:29:57.023, 0, P2, 61, 1800, 137.12, 137.12, 136.57
2023/07/30 17:29:57.038, 0, P2, 61, 1800, 137.12, 137.12, 136.57
2023/07/30 17:29:57.045, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.053, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.060, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.067, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.074, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.081, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.088, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.095, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.102, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.109, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.116, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.123, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.133, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.140, 0, P2, 61, 1800, 137.21, 137.21, 137.88
2023/07/30 17:29:57.147, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.154, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.161, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.168, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.175, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.182, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.189, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.196, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.203, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.213, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.220, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.226, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.234, 1, P2, 61, 1800, 137.09, 137.09, 136.69
2023/07/30 17:29:57.241, 1, P2, 60, 1800, 137.09, 137.09, 136.61
2023/07/30 17:29:57.248, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.255, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.262, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.269, 1, P2, 61, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.276, 1, P2, 61, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.283, 1, P2, 61, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.293, 1, P2, 61, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.300, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.307, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.314, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.321, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.328, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.335, 1, P2, 60, 1800, 136.97, 136.97, 136.61
2023/07/30 17:29:57.342, 1, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.349, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.356, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.363, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.373, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.380, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.386, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.393, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.400, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.407, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.414, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.421, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.428, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.436, 0, P2, 60, 1800, 136.88, 136.88, 136.58
2023/07/30 17:29:57.442, 0, P2, 60, 1800, 136.79, 136.79, 136.43
2023/07/30 17:29:57.453, 0, P2, 60, 1800, 136.79, 136.79, 136.43
