timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], power.draw.instant [W]
2023/07/30 17:28:02.589, 0, P0, 53, 1410, 78.66, 78.66
2023/07/30 17:28:02.603, 0, P0, 53, 1410, 78.66, 78.66
2023/07/30 17:28:02.615, 0, P0, 53, 1410, 78.66, 78.66
2023/07/30 17:28:02.629, 0, P0, 53, 1410, 81.81, 81.81
2023/07/30 17:28:02.655, 0, P0, 53, 1410, 81.81, 81.81
2023/07/30 17:28:02.670, 0, P0, 53, 1410, 81.81, 81.81
2023/07/30 17:28:02.685, 0, P0, 53, 1410, 81.81, 81.81
2023/07/30 17:28:02.707, 0, P0, 53, 1410, 81.81, 81.81
2023/07/30 17:28:02.724, 0, P0, 53, 1350, 81.81, 81.81
2023/07/30 17:28:02.748, 0, P0, 53, 1350, 78.17, 78.17
2023/07/30 17:28:02.772, 0, P0, 53, 1350, 78.17, 78.17
2023/07/30 17:28:02.786, 0, P0, 53, 1350, 78.17, 78.17
2023/07/30 17:28:02.800, 0, P0, 53, 1350, 78.17, 78.17
2023/07/30 17:28:02.814, 0, P0, 53, 1350, 78.17, 78.17
2023/07/30 17:28:02.833, 0, P0, 53, 1350, 78.17, 78.17
2023/07/30 17:28:02.849, 0, P0, 53, 1350, 76.15, 76.15
2023/07/30 17:28:02.865, 0, P0, 53, 1350, 76.15, 76.15
2023/07/30 17:28:02.880, 0, P0, 53, 1350, 76.15, 76.15
2023/07/30 17:28:02.895, 0, P0, 53, 1350, 76.15, 76.15
2023/07/30 17:28:02.909, 0, P0, 53, 1350, 76.15, 76.15
2023/07/30 17:28:02.925, 0, P0, 53, 1410, 76.15, 76.15
2023/07/30 17:28:02.942, 1, P0, 53, 1410, 76.15, 79.94
2023/07/30 17:28:02.955, 1, P0, 53, 1410, 79.94, 79.94
2023/07/30 17:28:02.971, 1, P0, 53, 1410, 79.94, 79.94
2023/07/30 17:28:02.985, 1, P0, 53, 1410, 79.94, 79.94
2023/07/30 17:28:02.997, 1, P0, 53, 1410, 79.94, 79.94
2023/07/30 17:28:03.009, 1, P0, 53, 1410, 79.94, 79.94
2023/07/30 17:28:03.021, 1, P0, 53, 1410, 79.94, 79.94
2023/07/30 17:28:03.033, 1, P0, 53, 1410, 79.94, 79.94
2023/07/30 17:28:03.048, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.060, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.071, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.086, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.097, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.110, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.122, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.134, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.148, 1, P0, 53, 1410, 80.91, 80.91
2023/07/30 17:28:03.160, 1, P0, 53, 1410, 80.91, 80.91
2023/07/30 17:28:03.173, 1, P0, 53, 1410, 80.91, 80.91
2023/07/30 17:28:03.187, 1, P0, 53, 1410, 80.91, 80.91
2023/07/30 17:28:03.199, 1, P0, 53, 1410, 80.91, 80.91
2023/07/30 17:28:03.211, 1, P0, 53, 1410, 80.91, 80.91
2023/07/30 17:28:03.223, 1, P0, 53, 1410, 80.91, 80.91
2023/07/30 17:28:03.235, 1, P0, 53, 1410, 80.91, 80.91
2023/07/30 17:28:03.249, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.261, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.274, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.288, 1, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.300, 1, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.312, 1, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.324, 1, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.336, 0, P0, 53, 1410, 80.82, 80.82
2023/07/30 17:28:03.350, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.363, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.375, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.389, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.401, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.413, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.426, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.437, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.451, 0, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.464, 0, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.476, 0, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.490, 0, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.502, 0, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.515, 0, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.527, 0, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.539, 0, P0, 52, 1410, 80.82, 80.82
2023/07/30 17:28:03.553, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.565, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.577, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.592, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.603, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.616, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.628, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.640, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.654, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.666, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.678, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.694, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.706, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.718, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.730, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.742, 0, P0, 52, 1410, 80.72, 80.72
2023/07/30 17:28:03.756, 0, P0, 52, 1410, 80.61, 80.61
2023/07/30 17:28:03.768, 0, P0, 52, 1410, 80.61, 80.61
2023/07/30 17:28:03.780, 0, P0, 52, 1410, 80.61, 80.61
2023/07/30 17:28:03.794, 0, P0, 52, 1410, 80.61, 80.61
2023/07/30 17:28:03.806, 0, P0, 52, 1410, 80.61, 80.61
2023/07/30 17:28:03.819, 0, P0, 52, 1410, 80.61, 80.61
2023/07/30 17:28:03.831, 0, P0, 52, 1410, 80.61, 80.61
2023/07/30 17:28:03.843, 0, P0, 52, 1410, 80.61, 80.61
2023/07/30 17:28:03.857, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.869, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.881, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.895, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.907, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.920, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.932, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.944, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.958, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.970, 0, P0, 52, 1410, 80.52, 80.52
2023/07/30 17:28:03.982, 0, P0, 53, 1410, 80.52, 80.52
2023/07/30 17:28:03.997, 0, P0, 53, 1410, 80.52, 80.52
2023/07/30 17:28:04.008, 0, P0, 53, 1410, 80.52, 80.52
2023/07/30 17:28:04.021, 0, P0, 53, 1410, 80.52, 80.52
2023/07/30 17:28:04.033, 0, P0, 53, 1410, 80.52, 80.52
2023/07/30 17:28:04.045, 0, P0, 54, 1410, 80.52, 80.52
2023/07/30 17:28:04.059, 0, P0, 54, 1410, 162.32, 162.32
2023/07/30 17:28:04.071, 0, P0, 54, 1410, 162.32, 162.32
2023/07/30 17:28:04.083, 0, P0, 54, 1410, 162.32, 162.32
2023/07/30 17:28:04.098, 0, P0, 55, 1410, 162.32, 162.32
2023/07/30 17:28:04.110, 0, P0, 55, 1410, 162.32, 162.32
2023/07/30 17:28:04.122, 0, P0, 55, 1410, 162.32, 162.32
2023/07/30 17:28:04.134, 0, P0, 54, 1410, 162.32, 162.32
2023/07/30 17:28:04.146, 44, P0, 54, 1410, 162.32, 162.32
2023/07/30 17:28:04.160, 44, P0, 55, 1410, 159.59, 159.59
